Index,SOC_Ah,C-rate,SOC [%],Capacity Fade (mAh/cycle)
1,0.22,4.08,55,-0.00693275
2,0.13,3.29,32.5,-0.161782922
3,0.3,4.73,75,-2.626592876
4,0.1,6.6,25,-1.343526103
5,0.22,3,55,0.065829069
6,0.21,3.89,52.5,-0.333688781
7,0.15,6.13,37.5,-1.161710314
8,0.08,2.07,20,0.011515008
9,0.15,2.24,37.5,0.003198381
10,0.28,3.2,70,-0.144796197
11,0.09,4.16,22.5,-0.008518648
12,0.11,5.77,27.5,-0.577765538
13,0.31,3.9,77.5,-1.191305401
14,0.14,6.03,35,-0.595918239
15,0.2,4.44,50,-0.294504416
16,0.21,6.1,52.5,-3.687753
