Index,SOC_Ah,C-rate,channel #,SOC [%],Capacity Fade (mAh/cycle)
1,0.22416,3.53,1,56.04,0.053679758
2,0.10816,2.47,2,27.04,0.068271212
3,0.2074,4.9,3,51.85,-0.405775246
4,0.15256,6.1,4,38.14,-1.066867211
5,0.19088,7.21,5,47.72,-2.65197292
6,0.1824,5.77,6,45.6,-0.179550517
7,0.1392,7.68,7,34.8,-1.64983417
8,0.11936,2.62,8,29.84,-0.071769038
9,0.20892,3.28,9,52.23,-0.049350934
10,0.18396,5.22,10,45.99,0.047037919
11,0.28496,6.05,11,71.24,-3.618868528
12,0.11052,3.48,12,27.63,0.009046151
13,0.15772,2.43,13,39.43,-0.015658262
14,0.31388,3.22,14,78.47,-0.002190127
15,0.28696,7.81,15,71.74,-7.514854765
16,0.16536,3.78,16,41.34,0.034864931
