Cycle,Charge Capacity (mAh),Charge Energy (Wh),Discharge Capacity (mAh),Discharge Energy (Wh),Coulombic Efficiency,Energy Efficiency,Loop Number,Temperature (K)
5,427.339046062,1.4697561170000002,426.70008915,1.320059933,99.85048010054591,89.8148963444661,1,291
12,425.69350229900004,1.462967554,425.00052428699996,1.315988462,99.83721198273933,89.95335941674615,2,291
19,423.816416225,1.4559869989999998,423.068465307,1.311125016,99.8235200692172,90.05059913999962,3,291
26,421.991962543,1.449394758,421.265751523,1.3060964160000001,99.82790880290143,90.11322890406095,4,291
33,420.26417180400006,1.443136092,419.546116128,1.301727038,99.82914182931232,90.20126689479261,5,291
40,418.66357179600004,1.437448374,417.97551940299996,1.297267695,99.8356550606855,90.24795035873755,6,291
47,417.17949709600003,1.432191774,416.525137697,1.293177118,99.84314679806772,90.29357251426302,7,291
54,415.845869579,1.427471173,415.23646792700004,1.289461548,99.85345492246516,90.33188006802573,8,291
61,414.585515669,1.422969492,414.015568984,1.28600359,99.86252614636567,90.3746424101129,9,291
68,413.414225921,1.418847377,412.81696686199996,1.282502022,99.85553011445857,90.39041427498088,10,291
75,412.246254585,1.4147916299999999,411.54788734600004,1.278787685,99.83059464307252,90.38699818997374,11,291
82,411.160005909,1.410992227,410.46070596100003,1.275328861,99.82992024079435,90.38525064815967,12,291
89,410.05617650700003,1.407122629,409.332663042,1.272117836,99.82355747664548,90.40561282878778,13,291
96,408.946950501,1.403279534,408.285951555,1.2688062599999999,99.83836560091957,90.41721405166591,14,291
103,407.823133052,1.399362416,407.174536942,1.26546454,99.84096142238275,90.43150834486896,15,291
110,406.796794473,1.395691665,406.202724359,1.262625597,99.85396391464451,90.46594091396254,16,291
117,405.84851618000005,1.392461299,405.201939136,1.2594806630000002,99.84068512801628,90.44995820742018,17,291
124,404.794048445,1.38884683,404.145627395,1.2561365979999999,99.83981457916913,90.4445739347657,18,291
131,403.785950551,1.385360814,403.060993423,1.252781478,99.82046004151192,90.4299779046587,19,291
138,402.713618945,1.381737956,402.085755616,1.249617705,99.8440918559832,90.43811090038551,20,291
145,401.656649156,1.37811042,401.058277701,1.2464482399999999,99.85102413808974,90.44618064784676,21,291
152,400.535413869,1.374287442,399.953630456,1.2428251209999999,99.85474857082417,90.43414667249793,22,291
159,399.50101132400005,1.370750173,398.80761897599996,1.239162286,99.8264353960702,90.40030126627605,23,291
166,398.336984234,1.366862686,397.607557072,1.235285884,99.81688188873483,90.37380979467312,24,291
173,397.107331691,1.36266012,396.458419181,1.231620675,99.8365901462366,90.38355617246656,25,291
180,395.914997202,1.358566162,395.325631967,1.22804245,99.85113844154297,90.39253915997357,26,291
187,394.759332265,1.3550256980000002,394.122283009,1.223580192,99.83862338292427,90.29940862420455,27,291
194,393.26876803199997,1.349728877,392.610757969,1.219160981,99.83268184089656,90.3263612252107,28,291
201,391.99685838,1.345499679,391.33912086099997,1.215065861,99.83220847184381,90.30591979799351,29,291
208,390.65330444100005,1.340994025,389.998862234,1.2106856559999999,99.83247493376858,90.28270323575825,30,291
215,389.241269067,1.336292031,388.632844672,1.206084298,99.84368964872137,90.25604209414013,31,291
222,387.746169512,1.331216738,387.091471501,1.2011227469999999,99.83115293909313,90.22743725447357,32,291
229,386.166554261,1.3259313449999999,385.53798689700005,1.1959922060000001,99.83722894770035,90.20016085372808,33,291
236,384.55832304399996,1.320606664,383.950665835,1.190651385,99.84198568264236,90.15942577433488,34,291
243,382.80925868,1.314654021,382.108179803,1.1848625659999998,99.81685947737589,90.12732985814219,35,291
250,381.05017677,1.3086736749999999,380.45753804000003,1.179488991,99.84447225952668,90.12857930377487,36,291
257,379.097643097,1.301804728,378.51387091099997,1.173176582,99.8460100724365,90.11924421279257,37,291
