Cycle,Charge Capacity (mAh),Charge Energy (Wh),Discharge Capacity (mAh),Discharge Energy (Wh),Coulombic Efficiency,Energy Efficiency,Loop Number,Temperature (K)
5,412.013201,1.416135693,411.2975015,1.270737042,99.82629209,89.73271758,1,291
12,403.8550133,1.385652493,403.2591609,1.249642398,99.85245884,90.1844008,2,291
19,395.8137343,1.356766375,395.3657434,1.22754364,99.88681774,90.47568267,3,291
26,388.4389461,1.330600118,388.0410273,1.206374659,99.89755949,90.6639525,4,291
33,381.8343636,1.307317833,381.445931,1.18679333,99.89827197,90.78078032,5,291
40,375.5069474,1.285112885,375.1879,1.167879049,99.91503554,90.87754567,6,291
47,369.481273,1.26419852,369.1457873,1.149229637,99.90920091,90.90578883,7,291
54,363.6081702,1.243808797,363.2677744,1.130964025,99.90638388,90.9274824,8,291
61,357.6516064,1.223270129,357.4318204,1.112839313,99.93854746,90.97249141,9,291
68,351.7498051,1.202723045,351.5085452,1.094401868,99.93141151,90.99367245,10,291
75,345.7094817,1.181948714,345.5623369,1.075661908,99.95743687,91.00749426,11,291
82,339.5876139,1.16110778,339.423577,1.056155356,99.95169526,90.96100932,12,291
89,333.4015697,1.140104362,333.2241205,1.036365847,99.94677614,90.90096324,13,291
96,327.1325994,1.118570105,326.9855555,1.016690413,99.95505068,90.89197078,14,291
103,320.7216032,1.09676299,320.5302459,0.996214589,99.94033538,90.83225803,15,291
110,314.0421877,1.074116662,313.8436023,0.974796932,99.93676472,90.75335729,16,291
117,307.0344339,1.050190036,306.8849865,0.952641064,99.95132554,90.71130284,17,291
124,299.7439297,1.025447176,299.5299574,0.929182761,99.92861498,90.61244526,18,291
131,292.043398,0.999390473,291.7893897,0.904308495,99.91302377,90.48600316,19,291
138,283.6795333,0.970919475,283.446085,0.877626936,99.91770704,90.39132066,20,291
145,274.806642,0.941013447,274.6445801,0.849382358,99.94102693,90.26251014,21,291
152,265.358733,0.909089407,265.1171167,0.818755011,99.9089473,90.06320002,22,291
159,255.137514,0.874672474,254.8990044,0.785843382,99.90651724,89.84430234,23,291
166,243.9971475,0.837159028,243.7375211,0.749790224,99.8935945,89.56365504,24,291
173,231.7426024,0.795742311,231.4986277,0.710464964,99.89472171,89.28329613,25,291
180,218.2618274,0.750189498,218.0171869,0.667142007,99.88791419,88.92979824,26,291
187,203.1183605,0.698947497,202.8549147,0.618388314,99.87029936,88.4742154,27,291
194,185.8446311,0.640195976,185.6036366,0.563083184,99.87032475,87.95481464,28,291
201,165.6057867,0.571215303,165.3528051,0.498318227,99.84723872,87.23824876,29,291
208,140.9007108,0.486441851,140.5983062,0.420100318,99.78537749,86.36187802,30,291
215,114.301984,0.393916238,114.0752611,0.337956814,99.80164574,85.79408042,31,291
222,92.38833005,0.317194907,92.24653913,0.271267559,99.84652724,85.52078013,32,291
229,78.14660968,0.267574357,78.04076838,0.227959448,99.8645606,85.19480363,33,291
236,70.46859502,0.240684196,70.4162652,0.204781921,99.92574023,85.08324369,34,291
243,57.09389017,0.194181277,57.11165372,0.164529081,100.0311129,84.72963179,35,291
250,48.18424119,0.164254323,48.14448522,0.136780091,99.91749175,83.27335835,36,291
