Cycle,Charge Capacity (mAh),Charge Energy (Wh),Discharge Capacity (mAh),Discharge Energy (Wh),Coulombic Efficiency,Energy Efficiency,Loop Number,Temperature (K)
5,405.82356617,1.398523596,405.549709933,1.233293381,99.93251839966206,88.18538239379123,1,288
12,396.911687482,1.364009704,396.48826681099996,1.2146819329999998,99.89332118847742,89.05229408837107,2,288
19,382.33867551500003,1.311838534,381.962847659,1.177128709,99.90170289325457,89.73121908614402,3,288
26,365.72052032299996,1.253268896,365.38026872,1.1302645409999998,99.90696403835928,90.18531813942025,4,288
33,348.54111011000003,1.193606948,348.121918735,1.0782544790000002,99.87972971829127,90.33580784752606,5,288
40,330.92616373799996,1.132804693,330.510691129,1.023746711,99.87445156819668,90.37274627533698,6,288
47,312.956200743,1.0711551289999999,312.549569689,0.967459851,99.8700677433345,90.319303414361,7,288
54,294.518390617,1.008137399,294.24032403499996,0.909625861,99.90558600384257,90.22836191795717,8,288
61,276.17930911400003,0.9457764529999999,275.878327524,0.851455109,99.89101950071291,90.0270995645099,9,288
68,257.89461013700003,0.883576152,257.607704582,0.7934539770000001,99.88875085258758,89.80029341036358,10,288
75,240.000783511,0.822847401,239.70708748500002,0.736434738,99.87762705533562,89.4983367639026,11,288
82,221.248325771,0.75899334,221.013229923,0.677276918,99.89374118552955,89.23357851862048,12,288
89,203.156347603,0.6975447020000001,202.946322347,0.619959662,99.89661890535146,88.87740960865328,13,288
96,181.986111148,0.6231599680000001,181.796783708,0.554219798,99.89596599498407,88.93700276972861,14,288
103,156.609106588,0.535219169,156.485119577,0.474464399,99.92083026734443,88.64861845036047,15,288
110,136.04230744199998,0.46642025000000004,135.90122779,0.407720592,99.89629722205342,87.41485645188003,16,288
117,117.982623718,0.40615025299999996,117.849721823,0.348757755,99.88735468765498,85.86914631319952,17,288
124,95.351218668,0.33202852,94.803967959,0.274074206,99.42606846913468,82.5453807401846,18,288
131,0.000156838,3.137e-06,2.119e-06,0.0,1.3510756321809765,0.0,19,288
138,0.000176336,3.527e-06,2.967e-06,0.0,1.6825832501587878,0.0,20,288
145,0.00014603,2.921e-06,2.543e-06,0.0,1.7414229952749434,0.0,21,288
152,0.000170614,3.412e-06,5.51e-06,0.0,3.2295122322904333,0.0,22,288
159,0.000157686,3.154e-06,1.484e-06,0.0,0.9411108151643137,0.0,23,288
166,0.000165951,3.319e-06,1.907e-06,0.0,1.149134383040777,0.0,24,288
